,id_object,addres_object,developer_object,group_company,amount_floors,amount_apartments,area,commissioning,picture
13,4692,"г Хабаровск, район Индустриальный, ул Панфиловцев, д. 1, блок-секция 1",ООО ЗАСТРОЙЩИК-ДВ,Застройщик-ДВ,13,180,9 812,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/41c2b081-6115-4d5e-81fb-de8680190c1b
14,4694,"г Хабаровск, ул Панфиловцев, д. 3, блок-секция 3",ООО ЗАСТРОЙЩИК-ДВ,Застройщик-ДВ,7,30,1 098,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/1af6ecdf-d86c-4397-bfa6-4033386ccdc2
15,4695,"г Хабаровск, район Индустриальный, ул Панфиловцев, строение 4, блок-секция Подземная автостоянка",ООО ЗАСТРОЙЩИК-ДВ,Застройщик-ДВ,1,-,-,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/d511b522-3909-4709-ad2a-a2c4c60b5436
16,4693,"г Хабаровск, ул Панфиловцев, д. 2, блок-секция 2",ООО ЗАСТРОЙЩИК-ДВ,Застройщик-ДВ,11,72,3 946,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/68baa7c3-3a70-4601-905d-d5b518fde336
17,35755,"г Хабаровск, район Индустриальный",ООО СЗ - АКРАНЕС,УИП города Хабаровска,2,-,-,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/f8cf07d5-9a81-4b64-bc13-f5ad387831a4
18,35754,"г Хабаровск, район Индустриальный, ул Краснореченская, д. 223",ООО СЗ - АКРАНЕС,УИП города Хабаровска,25,230,12 530,III кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/2debf882-4d53-4d21-be61-9eb8bc2b8b78
19,42851,"г Хабаровск, Индустриальный район, блок-секция 1, 2",ООО СЗ РП,Да! Девелопмент,19,124,7 200,I кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/36df09bd-8d77-465e-8723-c739e437a9da
20,42852,"г Хабаровск, Индустриальный район, блок-секция 3, 4, 5, 6",ООО СЗ РП,Да! Девелопмент,25,530,32 065,IV кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/af5f9d61-07c3-42b7-b140-e34376abd971
21,27779,"г Хабаровск, ул Фабричная",ООО АЗИЯ ТРЕСТ,Компания КЕТОМ,22,116,6 877,I кв. 2022,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/bc09b2d7-5525-4159-9d03-c4bf8250e5e4
22,42909,"г Хабаровск, проезд Иртышский, д. 14",ООО СЗ БМК-СТРОЙ,-,12,139,5 989,II кв. 2023,https://xn--80az8a.xn--d1aqf.xn--p1ai/api/ext/file/8cb87da0-9063-44b3-9957-03825120b37a
